shape,method,params,cosine,auc,best_iou
star,fixed-ls=0.03,0,0.3780431883111095,0.5216143768908708,0.19077356970185336
star,fixed-ls=0.05,0,0.43330341973266256,0.5841900729077756,0.24181895452613686
star,fixed-ls=0.08,0,0.46949156121791275,0.7182617759879675,0.37851851851851853
star,fixed-ls=0.1,0,0.5126394274556131,0.7683113833670103,0.40322003577817533
star,fixed-ls=0.15,0,0.5044580721061164,0.7572751907198261,0.4767295597484277
star,fixed-ls=0.2,0,0.5084618205917572,0.8956998736821712,0.6765765765765765
star,fixed-ls=0.3,0,0.6112293980753701,0.9816316151652501,0.8028301886792453
star,fixed-ls=0.5,0,0.7507053930135591,0.9599793661127627,0.614702154626109
star,mlp-scales,525,0.8791594373640436,0.988354504108429,0.8140610545790934
star,mlp-kernel,162,0.8608117864006679,0.9827683568000793,0.8564838544336237
star,mlp-scalar,129,0.5233541727451354,0.7742859125137329,0.43455031166518254
star,lut-scales,32500,0.9417996363277781,0.9883493781089783,0.8893401015228426
star,lut-kernel,5000,0.8595222660347656,0.9838168025016785,0.8818316100443131
star,lut-scalar,2500,0.7892255199422235,0.8335714340209961,0.7039187227866474
spiky_star,fixed-ls=0.03,0,0.33943610839253485,0.7074787251793759,0.17647058823529413
spiky_star,fixed-ls=0.05,0,0.5638822858598503,0.8539306969241893,0.461864406779661
spiky_star,fixed-ls=0.08,0,0.5780272164483287,0.898636881917793,0.48278905560458957
spiky_star,fixed-ls=0.1,0,0.5281873461549838,0.8967581623004617,0.4482758620689655
spiky_star,fixed-ls=0.15,0,0.4014666258140074,0.7602583569720229,0.33671742808798644
spiky_star,fixed-ls=0.2,0,0.40058338495366874,0.6448437065465265,0.3559322033898305
spiky_star,fixed-ls=0.3,0,0.48716795347637604,0.8368128093887313,0.38499587798845836
spiky_star,fixed-ls=0.5,0,0.5764304711702394,0.9270244451860504,0.3862928348909657
spiky_star,mlp-scales,525,0.7583084240542735,0.9762454628944397,0.5965480043149946
spiky_star,mlp-kernel,162,0.6679390418076633,0.9153910279273987,0.5481171548117155
spiky_star,mlp-scalar,129,0.5418322776250863,0.8996450304985046,0.4906832298136646
spiky_star,lut-scales,32500,0.8430492657371205,0.9633985757827759,0.7248908296943232
spiky_star,lut-kernel,5000,0.7832639254850376,0.9899787306785583,0.7427385892116183
spiky_star,lut-scalar,2500,0.7209705245852778,0.8698268532752991,0.5778251599147122
annulus,fixed-ls=0.03,0,0.37960168053330606,0.5352702471015992,0.18870011058610636
annulus,fixed-ls=0.05,0,0.3767651897370382,0.5419937954299024,0.2163410301953819
annulus,fixed-ls=0.08,0,0.5221617609451705,0.8032301503698235,0.46274082151944745
annulus,fixed-ls=0.1,0,0.64475653096437,0.9320663030729895,0.6578225068618482
annulus,fixed-ls=0.15,0,0.707574176414082,0.9870321086888695,0.8473429951690822
annulus,fixed-ls=0.2,0,0.7664319246477981,0.9992209534371496,0.939693524468611
annulus,fixed-ls=0.3,0,0.6825977100481068,0.9980845944813256,0.9043824701195219
annulus,fixed-ls=0.5,0,0.7000301795916789,0.9795298999422328,0.7454545454545455
annulus,mlp-scales,525,0.9218141069762288,0.9990519881248474,0.9311023622047244
annulus,mlp-kernel,162,0.8150460498399007,0.984363317489624,0.7775862068965518
annulus,mlp-scalar,129,0.6499988796540633,0.9363800883293152,0.6602764155149353
annulus,lut-scales,32500,0.939906180686012,0.9915490746498108,0.8910843373493976
annulus,lut-kernel,5000,0.8969621997904812,0.9944213628768921,0.8961303462321792
annulus,lut-scalar,2500,0.9056659398629868,0.9891924858093262,0.9048593350383631
cross,fixed-ls=0.03,0,0.34326333306679363,0.5671382696122936,0.16446124763705103
cross,fixed-ls=0.05,0,0.4074295585416046,0.6360927569857763,0.25431530494821636
cross,fixed-ls=0.08,0,0.5372836185593585,0.8370684959144558,0.46208401527550463
cross,fixed-ls=0.1,0,0.5871049580379665,0.9079795050270688,0.5126903553299492
cross,fixed-ls=0.15,0,0.6769380664651771,0.9646790409899458,0.7484276729559748
cross,fixed-ls=0.2,0,0.6561174036071064,0.9836320992635933,0.7338952438290187
cross,fixed-ls=0.3,0,0.6330739845951573,0.9886724503177645,0.7668711656441718
cross,fixed-ls=0.5,0,0.6091264444759544,0.9248211943912035,0.4203194019707781
cross,mlp-scales,525,0.9149139956761616,0.999168872833252,0.9278779472954231
cross,mlp-kernel,162,0.772899233656681,0.9649181365966797,0.7115251897860594
cross,mlp-scalar,129,0.6833072127755889,0.915195882320404,0.7091660923501034
cross,lut-scales,32500,0.8919904658061275,0.9708434343338013,0.792911744266852
cross,lut-kernel,5000,0.8539661539358386,0.9695479273796082,0.8231292517006803
cross,lut-scalar,2500,0.8265567616636063,0.9170955419540405,0.7085427135678392
blobs,fixed-ls=0.03,0,0.3735619486753916,0.5221202685705212,0.18579619756563726
blobs,fixed-ls=0.05,0,0.40299369428970455,0.5798444394995487,0.2381966631167909
blobs,fixed-ls=0.08,0,0.4607113884077579,0.6661746800095276,0.41084513922813876
blobs,fixed-ls=0.1,0,0.5003818001778572,0.7365385007145723,0.5052896725440806
blobs,fixed-ls=0.15,0,0.4872469559338746,0.7682874737781232,0.5318401405357928
blobs,fixed-ls=0.2,0,0.5560701027785564,0.9292653121134624,0.5977564102564102
blobs,fixed-ls=0.3,0,0.6746061479016914,0.9763625712482867,0.7859703020993344
blobs,fixed-ls=0.5,0,0.7926564967723739,0.953872219018487,0.819509650495566
blobs,mlp-scales,525,0.9004281759559901,0.9971137642860413,0.930890052356021
blobs,mlp-kernel,162,0.7605348631195514,0.9545750617980957,0.643279797125951
blobs,mlp-scalar,129,0.5054982512116978,0.7426698207855225,0.48878923766816146
blobs,lut-scales,32500,0.954497435677505,0.9967415928840637,0.9150657229524772
blobs,lut-kernel,5000,0.8574878686001673,0.9864081144332886,0.8864541832669323
blobs,lut-scalar,2500,0.7740884675314935,0.8297374248504639,0.717181956411556
crescent,fixed-ls=0.03,0,0.34837103228244176,0.5211139910677752,0.1620044274501912
crescent,fixed-ls=0.05,0,0.38588922423231514,0.5961737697848083,0.21365716297078494
crescent,fixed-ls=0.08,0,0.4392175065499136,0.6673682746763754,0.3815987933634992
crescent,fixed-ls=0.1,0,0.47280718102945035,0.7746271894645315,0.4009790832220739
crescent,fixed-ls=0.15,0,0.5672220193615104,0.9225244433052486,0.5929377145659637
crescent,fixed-ls=0.2,0,0.6327159901663746,0.9646556519222185,0.7411504424778761
crescent,fixed-ls=0.3,0,0.7093546804189022,0.9934917629170852,0.8507462686567164
crescent,fixed-ls=0.5,0,0.7665482971470059,0.9747628176961277,0.7040923399790137
crescent,mlp-scales,525,0.9009650743578916,0.9978649020195007,0.9038686987104337
crescent,mlp-kernel,162,0.761703363826815,0.954509973526001,0.6617812852311161
crescent,mlp-scalar,129,0.5063158911478616,0.7942628264427185,0.40695748205411375
crescent,lut-scales,32500,0.9504738285551171,0.9930702447891235,0.8947368421052632
crescent,lut-kernel,5000,0.8394688424179414,0.9678186774253845,0.8196078431372549
crescent,lut-scalar,2500,0.7503918359319586,0.7794821262359619,0.6683644595359366
comb,fixed-ls=0.03,0,0.41165238951658567,0.5677005370869114,0.2059208538918538
comb,fixed-ls=0.05,0,0.4794803098133505,0.6712009514277739,0.26852976913730253
comb,fixed-ls=0.08,0,0.6993185129439076,0.9052806818922344,0.6156731971654856
comb,fixed-ls=0.1,0,0.7021398161985865,0.9443870794707719,0.6755162241887905
comb,fixed-ls=0.15,0,0.651290389462926,0.9543460320054,0.6639405204460966
comb,fixed-ls=0.2,0,0.6042571732461511,0.9123789438976636,0.5764439411098528
comb,fixed-ls=0.3,0,0.4816430716019056,0.7608733473781268,0.4226717235566793
comb,fixed-ls=0.5,0,0.5956462945768364,0.8424583154612363,0.38386041439476554
comb,mlp-scales,525,0.8713179444966654,0.9925819635391235,0.8367697594501718
comb,mlp-kernel,162,0.7683899476218137,0.9456071853637695,0.6098689282960679
comb,mlp-scalar,129,0.6990049558615357,0.9438068270683289,0.6691236691236692
comb,lut-scales,32500,0.8992700646149312,0.9855762720108032,0.8245614035087719
comb,lut-kernel,5000,0.8285431629398787,0.962805986404419,0.7659402744148507
comb,lut-scalar,2500,0.8414474522750072,0.9401274919509888,0.7679932260795935
